Breed,Breed Group,Height,Weight,Life Expectancy
Mudi,HERDING GROUP,15-18.5,18-29,12-14
Neapolitan Mastiff,WORKING GROUP,26-31,150,7-9
Nederlandse Kooikerhondje,SPORTING GROUP,"Dogs 16""",20 - 30 lbs,12-15
Newfoundland,WORKING GROUP,28 (average male),130-150,9-10
Norfolk Terrier,TERRIER GROUP,9-10,11-12,12-16
Norrbottenspets,MISCELLANEOUS CLASS,16.5-18,20-30,14-17
Norwegian Buhund,HERDING GROUP,17-18.5,31-40,12-15
Norwegian Elkhound,HOUND GROUP,20.5,55,12-15
Norwegian Lundehund,NON-SPORTING GROUP,13-15,15-18 lbs,12-15
Norwich Terrier,TERRIER GROUP,10,12,12-15
Nova Scotia Duck Tolling Retriever,SPORTING GROUP,18-21,35-50,12-14
Old English Sheepdog,HERDING GROUP,22 & up,60-100,10-12
Otterhound,HOUND GROUP,27,115,10-13
Papillon,TOY GROUP,8-11,5-10,14-16
Parson Russell Terrier,TERRIER GROUP,14,13-17,13-15
Pekingese,TOY GROUP,6-9,up to 14,12-14
Pembroke Welsh Corgi,HERDING GROUP,10-12,up to 30,12-13
